task,model,r2_train,r2_test,rmse_test,accuracy,weighted_f1,macro_f1,tfidf_max_features,tfidf_ngram_range,tfidf_svd_n_components,imb_sampler,xgb_colsample_bytree,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9091024398803711,0.6910973787307739,0.8511531090735683,0.43651452282157677,0.43568984363735175,0.4217202334428348,20000,"(1, 1)",300,smote,1.0,0.15,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9264373779296875,0.6907268762588501,0.8516633910161557,0.43609958506224067,0.43614374015447505,0.42184148907214086,20000,"(1, 1)",300,smote,1.0,0.15,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9514968395233154,0.6898241639137268,0.8529053695283374,0.43734439834024896,0.4379454605983635,0.42224640287495474,20000,"(1, 1)",300,smote,1.0,0.15,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9932569265365601,0.6904323697090149,0.8520687593241228,0.45020746887966806,0.45249148430674263,0.434870069386986,20000,"(1, 1)",300,smote,1.0,0.15,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9964813590049744,0.6905819177627563,0.8518629681415528,0.4470954356846473,0.4498743638222616,0.43221194127162266,20000,"(1, 1)",300,smote,1.0,0.15,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9989679455757141,0.6903089880943298,0.8522385529689058,0.4470954356846473,0.4495052060726427,0.43221322890937514,20000,"(1, 1)",300,smote,1.0,0.15,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999359250068665,0.689482569694519,0.853374897334516,0.43298755186721993,0.4304862922088151,0.41546040504173287,20000,"(1, 1)",300,smote,1.0,0.15,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999572038650513,0.689497172832489,0.8533548164333228,0.43298755186721993,0.430361822186545,0.4152837886920526,20000,"(1, 1)",300,smote,1.0,0.15,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999654293060303,0.6895301342010498,0.8533095890208698,0.4323651452282158,0.42971402483613036,0.41474790455564997,20000,"(1, 1)",300,smote,1.0,0.15,8,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.872299075126648,0.7003813982009888,0.8382648974811909,0.42697095435684645,0.42192146478792114,0.41058667908007995,20000,"(1, 1)",300,random,1.0,0.1,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.8901085257530212,0.7010281085968018,0.8373597070277219,0.4336099585062241,0.43151165862757174,0.41724851392247253,20000,"(1, 1)",300,random,1.0,0.1,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.91734379529953,0.7005583047866821,0.8380173807367423,0.44190871369294604,0.4414234863965029,0.42497749716725686,20000,"(1, 1)",300,random,1.0,0.1,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9756461381912231,0.6990438103675842,0.8401339007557281,0.43734439834024896,0.4381809052627364,0.41812856848854746,20000,"(1, 1)",300,random,1.0,0.1,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9835734963417053,0.6993911862373352,0.8396488762033811,0.4404564315352697,0.4418773711777479,0.42049053022967914,20000,"(1, 1)",300,random,1.0,0.1,6,600,1.0
